TrialTime,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.007,0.1240,1.2488,-0.2602,0.3541,-0.0056,0.5270,0.7726,0.1755,1.2669,-0.1718,0.6533,-0.3141,-0.0705,0.6852,0.1240,1.2488,-0.2602,0.3541,-0.0056,0.5270,0.7726,0.1755,1.2669,-0.1718,0.6533,-0.3141,-0.0705,0.6852,0.1235,1.6275,-0.5333,0.2039,0.0644,-0.0165,0.9767,-0.1350,1.7998,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.017,0.1345,1.2756,-0.3060,0.3226,-0.0122,0.4898,0.8099,0.1866,1.2974,-0.2217,0.6392,-0.4106,-0.0953,0.6432,0.1345,1.2756,-0.3060,0.3226,-0.0122,0.4898,0.8099,0.1866,1.2974,-0.2217,0.6392,-0.4106,-0.0953,0.6432,0.1152,1.6250,-0.5303,0.2082,0.0660,-0.0181,0.9757,-0.1350,1.7985,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.027,0.1400,1.2855,-0.3149,0.3168,-0.0093,0.4711,0.8232,0.1925,1.3108,-0.2367,0.6325,-0.4723,-0.0943,0.6066,0.1400,1.2855,-0.3149,0.3168,-0.0093,0.4711,0.8232,0.1925,1.3108,-0.2367,0.6325,-0.4723,-0.0943,0.6066,0.1152,1.6248,-0.5301,0.2088,0.0659,-0.0180,0.9756,-0.1350,1.7963,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.037,0.1427,1.2896,-0.3212,0.3135,-0.0127,0.4619,0.8296,0.1959,1.3150,-0.2439,0.6260,-0.4905,-0.0971,0.5985,0.1427,1.2896,-0.3212,0.3135,-0.0127,0.4619,0.8296,0.1959,1.3150,-0.2439,0.6260,-0.4905,-0.0971,0.5985,0.1152,1.6247,-0.5299,0.2094,0.0658,-0.0182,0.9755,-0.1350,1.7931,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.047,0.1450,1.2896,-0.3242,0.3117,-0.0064,0.4624,0.8300,0.1993,1.3160,-0.2475,0.6225,-0.4879,-0.0984,0.6039,0.1450,1.2896,-0.3242,0.3117,-0.0064,0.4624,0.8300,0.1993,1.3160,-0.2475,0.6225,-0.4879,-0.0984,0.6039,0.1152,1.6245,-0.5297,0.2099,0.0656,-0.0181,0.9754,-0.1350,1.7890,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.057,0.1467,1.2896,-0.3261,0.3115,-0.0033,0.4614,0.8307,0.2016,1.3163,-0.2498,0.6208,-0.4867,-0.1000,0.6064,0.1467,1.2896,-0.3261,0.3115,-0.0033,0.4614,0.8307,0.2016,1.3163,-0.2498,0.6208,-0.4867,-0.1000,0.6064,0.1151,1.6244,-0.5296,0.2104,0.0655,-0.0181,0.9753,-0.1350,1.7838,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.067,0.1482,1.2887,-0.3264,0.3115,-0.0004,0.4614,0.8307,0.2035,1.3158,-0.2504,0.6198,-0.4852,-0.1008,0.6085,0.1482,1.2887,-0.3264,0.3115,-0.0004,0.4614,0.8307,0.2035,1.3158,-0.2504,0.6198,-0.4852,-0.1008,0.6085,0.1151,1.6242,-0.5295,0.2109,0.0656,-0.0181,0.9751,-0.1350,1.7777,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.077,0.1493,1.2881,-0.3266,0.3118,0.0019,0.4613,0.8306,0.2051,1.3154,-0.2509,0.6191,-0.4840,-0.1017,0.6100,0.1493,1.2881,-0.3266,0.3118,0.0019,0.4613,0.8306,0.2051,1.3154,-0.2509,0.6191,-0.4840,-0.1017,0.6100,0.1152,1.6241,-0.5293,0.2113,0.0656,-0.0182,0.9750,-0.1350,1.7706,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.087,0.1497,1.2880,-0.3268,0.3114,0.0031,0.4614,0.8307,0.2057,1.3154,-0.2512,0.6184,-0.4835,-0.1021,0.6111,0.1497,1.2880,-0.3268,0.3114,0.0031,0.4614,0.8307,0.2057,1.3154,-0.2512,0.6184,-0.4835,-0.1021,0.6111,0.1152,1.6239,-0.5292,0.2116,0.0656,-0.0181,0.9750,-0.1350,1.7625,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.097,0.1501,1.2879,-0.3270,0.3110,0.0043,0.4614,0.8309,0.2064,1.3155,-0.2514,0.6177,-0.4830,-0.1026,0.6121,0.1501,1.2879,-0.3270,0.3110,0.0043,0.4614,0.8309,0.2064,1.3155,-0.2514,0.6177,-0.4830,-0.1026,0.6121,0.1151,1.6237,-0.5292,0.2121,0.0657,-0.0181,0.9749,-0.1350,1.7534,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.107,0.1503,1.2878,-0.3272,0.3105,0.0050,0.4615,0.8310,0.2076,1.3162,-0.2518,0.6133,-0.4825,-0.1056,0.6163,0.1503,1.2878,-0.3272,0.3105,0.0050,0.4615,0.8310,0.2076,1.3162,-0.2518,0.6133,-0.4825,-0.1056,0.6163,0.1151,1.6235,-0.5292,0.2124,0.0657,-0.0181,0.9748,-0.1350,1.7433,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.117,0.1506,1.2878,-0.3274,0.3100,0.0057,0.4616,0.8312,0.2089,1.3170,-0.2522,0.6084,-0.4821,-0.1089,0.6209,0.1506,1.2878,-0.3274,0.3100,0.0057,0.4616,0.8312,0.2089,1.3170,-0.2522,0.6084,-0.4821,-0.1089,0.6209,0.1151,1.6234,-0.5291,0.2126,0.0659,-0.0180,0.9748,-0.1350,1.7323,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.127,0.1508,1.2880,-0.3280,0.3064,0.0052,0.4612,0.8327,0.2101,1.3175,-0.2526,0.6044,-0.4817,-0.1116,0.6247,0.1508,1.2880,-0.3280,0.3064,0.0052,0.4612,0.8327,0.2101,1.3175,-0.2526,0.6044,-0.4817,-0.1116,0.6247,0.1151,1.6232,-0.5291,0.2128,0.0660,-0.0179,0.9747,-0.1350,1.7203,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.137,0.1508,1.2883,-0.3283,0.3035,0.0048,0.4611,0.8338,0.2112,1.3183,-0.2529,0.6001,-0.4813,-0.1147,0.6286,0.1508,1.2883,-0.3283,0.3035,0.0048,0.4611,0.8338,0.2112,1.3183,-0.2529,0.6001,-0.4813,-0.1147,0.6286,0.1151,1.6231,-0.5291,0.2131,0.0662,-0.0178,0.9746,-0.1350,1.7073,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.147,0.1509,1.2885,-0.3286,0.3011,0.0045,0.4611,0.8347,0.2122,1.3189,-0.2531,0.5965,-0.4809,-0.1172,0.6319,0.1509,1.2885,-0.3286,0.3011,0.0045,0.4611,0.8347,0.2122,1.3189,-0.2531,0.5965,-0.4809,-0.1172,0.6319,0.1150,1.6230,-0.5291,0.2133,0.0663,-0.0178,0.9746,-0.1350,1.6933,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.157,0.1510,1.2886,-0.3289,0.2993,0.0041,0.4613,0.8352,0.2129,1.3192,-0.2532,0.5949,-0.4805,-0.1187,0.6334,0.1510,1.2886,-0.3289,0.2993,0.0041,0.4613,0.8352,0.2129,1.3192,-0.2532,0.5949,-0.4805,-0.1187,0.6334,0.1150,1.6229,-0.5290,0.2135,0.0665,-0.0176,0.9745,-0.1350,1.6784,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.167,0.1510,1.2887,-0.3292,0.2977,0.0037,0.4614,0.8357,0.2134,1.3194,-0.2534,0.5937,-0.4802,-0.1200,0.6344,0.1510,1.2887,-0.3292,0.2977,0.0037,0.4614,0.8357,0.2134,1.3194,-0.2534,0.5937,-0.4802,-0.1200,0.6344,0.1149,1.6228,-0.5290,0.2137,0.0665,-0.0174,0.9745,-0.1350,1.6624,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.177,0.1511,1.2888,-0.3295,0.2961,0.0033,0.4616,0.8362,0.2140,1.3197,-0.2536,0.5924,-0.4798,-0.1214,0.6356,0.1511,1.2888,-0.3295,0.2961,0.0033,0.4616,0.8362,0.2140,1.3197,-0.2536,0.5924,-0.4798,-0.1214,0.6356,0.1149,1.6227,-0.5290,0.2138,0.0667,-0.0174,0.9744,-0.1350,1.6455,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.187,0.1512,1.2890,-0.3298,0.2948,0.0028,0.4620,0.8365,0.2141,1.3195,-0.2537,0.5981,-0.4803,-0.1181,0.6306,0.1512,1.2890,-0.3298,0.2948,0.0028,0.4620,0.8365,0.2141,1.3195,-0.2537,0.5981,-0.4803,-0.1181,0.6306,0.1148,1.6225,-0.5290,0.2138,0.0664,-0.0171,0.9745,-0.1350,1.6276,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.197,0.1513,1.2892,-0.3301,0.2935,0.0023,0.4624,0.8367,0.2143,1.3189,-0.2538,0.6067,-0.4803,-0.1152,0.6229,0.1513,1.2892,-0.3301,0.2935,0.0023,0.4624,0.8367,0.2143,1.3189,-0.2538,0.6067,-0.4803,-0.1152,0.6229,0.1147,1.6224,-0.5289,0.2139,0.0662,-0.0170,0.9745,-0.1350,1.6087,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,none,0.0000,none
