TrialTime,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.006,-0.1033,1.0715,-0.2488,0.2065,0.1227,0.5695,0.7861,-0.0634,1.1066,-0.1862,0.7972,-0.4632,0.0981,0.3745,-0.1141,1.0620,-0.2658,0.1683,0.0722,0.6094,0.7714,-0.0526,1.1161,-0.1693,0.6144,-0.3158,-0.0929,0.7171,-0.0299,1.3051,-0.6414,0.0372,-0.0228,-0.0504,0.9978,-0.1200,1.1998,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1402,0,0,90,none,0.0049,Table Lower Target
0.016,-0.1021,1.0709,-0.2432,0.2087,0.1268,0.5696,0.7848,-0.0617,1.1062,-0.1810,0.7982,-0.4603,0.0951,0.3767,-0.1130,1.0614,-0.2601,0.1694,0.0772,0.6103,0.7700,-0.0507,1.1157,-0.1642,0.6140,-0.3091,-0.0936,0.7202,-0.0310,1.3052,-0.6408,0.0371,-0.0237,-0.0495,0.9978,-0.1200,1.1975,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1412,0,0,90,none,0.0000,none
0.026,-0.1014,1.0708,-0.2372,0.2110,0.1309,0.5698,0.7834,-0.0605,1.1061,-0.1754,0.7993,-0.4574,0.0920,0.3789,-0.1125,1.0612,-0.2540,0.1706,0.0822,0.6112,0.7685,-0.0494,1.1158,-0.1586,0.6137,-0.3023,-0.0943,0.7233,-0.0321,1.3053,-0.6403,0.0371,-0.0249,-0.0483,0.9978,-0.1200,1.1943,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1422,0,0,90,none,0.0000,none
0.036,-0.1004,1.0695,-0.2319,0.2133,0.1343,0.5697,0.7823,-0.0591,1.1049,-0.1704,0.8001,-0.4550,0.0891,0.3806,-0.1117,1.0598,-0.2487,0.1711,0.0864,0.6122,0.7671,-0.0479,1.1146,-0.1537,0.6132,-0.2952,-0.0947,0.7265,-0.0332,1.3054,-0.6399,0.0373,-0.0262,-0.0472,0.9978,-0.1200,1.1901,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1432,0,0,90,none,0.0000,none
0.046,-0.0999,1.0686,-0.2262,0.2154,0.1377,0.5697,0.7810,-0.0582,1.1041,-0.1650,0.8010,-0.4525,0.0863,0.3823,-0.1114,1.0588,-0.2430,0.1717,0.0907,0.6133,0.7656,-0.0467,1.1139,-0.1482,0.6127,-0.2882,-0.0952,0.7297,-0.0344,1.3055,-0.6394,0.0378,-0.0274,-0.0463,0.9978,-0.1200,1.1850,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1442,0,0,90,none,0.0000,none
0.056,-0.0999,1.0671,-0.2226,0.2171,0.1394,0.5709,0.7794,-0.0581,1.1027,-0.1616,0.8024,-0.4502,0.0849,0.3825,-0.1114,1.0573,-0.2394,0.1726,0.0927,0.6150,0.7638,-0.0466,1.1125,-0.1448,0.6134,-0.2836,-0.0948,0.7309,-0.0354,1.3056,-0.6389,0.0380,-0.0287,-0.0456,0.9978,-0.1200,1.1788,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1452,0,0,90,none,0.0000,none
0.066,-0.1002,1.0660,-0.2186,0.2186,0.1408,0.5719,0.7780,-0.0582,1.1016,-0.1577,0.8036,-0.4481,0.0836,0.3825,-0.1117,1.0561,-0.2354,0.1734,0.0945,0.6164,0.7623,-0.0466,1.1114,-0.1409,0.6140,-0.2793,-0.0945,0.7321,-0.0365,1.3058,-0.6383,0.0379,-0.0301,-0.0448,0.9978,-0.1200,1.1717,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1462,0,0,90,none,0.0000,none
0.076,-0.1005,1.0650,-0.2144,0.2202,0.1421,0.5728,0.7767,-0.0584,1.1006,-0.1535,0.8048,-0.4463,0.0822,0.3825,-0.1122,1.0551,-0.2312,0.1741,0.0962,0.6178,0.7608,-0.0468,1.1105,-0.1367,0.6146,-0.2749,-0.0942,0.7334,-0.0376,1.3059,-0.6377,0.0377,-0.0314,-0.0438,0.9978,-0.1200,1.1636,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1472,0,0,90,none,0.0000,none
0.086,-0.1003,1.0646,-0.2138,0.2214,0.1410,0.5735,0.7760,-0.0583,1.1001,-0.1528,0.8057,-0.4461,0.0818,0.3809,-0.1119,1.0549,-0.2306,0.1753,0.0953,0.6183,0.7602,-0.0467,1.1099,-0.1360,0.6158,-0.2745,-0.0944,0.7325,-0.0386,1.3061,-0.6372,0.0376,-0.0326,-0.0429,0.9978,-0.1200,1.1545,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1482,0,0,90,none,0.0000,none
0.096,-0.1003,1.0644,-0.2128,0.2226,0.1401,0.5743,0.7752,-0.0584,1.0997,-0.1517,0.8067,-0.4457,0.0813,0.3794,-0.1119,1.0547,-0.2297,0.1766,0.0945,0.6189,0.7595,-0.0468,1.1095,-0.1349,0.6170,-0.2740,-0.0946,0.7316,-0.0396,1.3062,-0.6366,0.0378,-0.0336,-0.0419,0.9978,-0.1200,1.1444,0.0320,0.0000,1.0000,0.0000,0.0000,1,0,1.1492,0,0,90,none,0.0000,none
