TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.006,1,0.2721,1.2815,0.1885,0.3556,-0.7519,0.4210,0.3618,0.2848,1.2881,0.1811,0.0931,-0.6413,0.5580,-0.5184,0.2721,1.2815,0.1885,0.3556,-0.7519,0.4210,0.3618,0.2848,1.2881,0.1811,0.0931,-0.6413,0.5580,-0.5184,0.5391,1.6325,-0.1522,-0.1771,0.3947,-0.0837,-0.8977,-0.1200,1.2008,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.016,1,0.2756,1.2876,0.1872,0.3597,-0.7575,0.4105,0.3582,0.2834,1.2936,0.1811,0.0882,-0.6436,0.5524,-0.5224,0.2756,1.2876,0.1872,0.3597,-0.7575,0.4105,0.3582,0.2834,1.2936,0.1811,0.0882,-0.6436,0.5524,-0.5224,0.5380,1.6327,-0.1494,-0.1789,0.3936,-0.0835,-0.8978,-0.1200,1.1995,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.026,1,0.2765,1.2900,0.1879,0.3656,-0.7588,0.4056,0.3551,0.2834,1.2948,0.1822,0.0784,-0.6370,0.5580,-0.5260,0.2765,1.2900,0.1879,0.3656,-0.7588,0.4056,0.3551,0.2834,1.2948,0.1822,0.0784,-0.6370,0.5580,-0.5260,0.5369,1.6329,-0.1466,-0.1800,0.3929,-0.0833,-0.8979,-0.1200,1.1973,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.036,1,0.2775,1.2913,0.1886,0.3640,-0.7632,0.3989,0.3550,0.2829,1.2953,0.1830,0.0744,-0.6357,0.5588,-0.5274,0.2775,1.2913,0.1886,0.3640,-0.7632,0.3989,0.3550,0.2829,1.2953,0.1830,0.0744,-0.6357,0.5588,-0.5274,0.5359,1.6330,-0.1440,-0.1810,0.3927,-0.0833,-0.8978,-0.1200,1.1941,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.046,1,0.2785,1.2927,0.1890,0.3630,-0.7661,0.3940,0.3550,0.2832,1.2957,0.1835,0.0665,-0.6297,0.5653,-0.5287,0.2785,1.2927,0.1890,0.3630,-0.7661,0.3940,0.3550,0.2832,1.2957,0.1835,0.0665,-0.6297,0.5653,-0.5287,0.5351,1.6333,-0.1414,-0.1817,0.3924,-0.0825,-0.8979,-0.1200,1.1900,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.056,1,0.2795,1.2945,0.1892,0.3626,-0.7685,0.3898,0.3549,0.2842,1.2965,0.1840,0.0563,-0.6213,0.5744,-0.5300,0.2795,1.2945,0.1892,0.3626,-0.7685,0.3898,0.3549,0.2842,1.2965,0.1840,0.0563,-0.6213,0.5744,-0.5300,0.5343,1.6336,-0.1389,-0.1820,0.3924,-0.0818,-0.8979,-0.1200,1.1848,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.066,1,0.2839,1.3014,0.1911,0.3424,-0.7880,0.3550,0.3685,0.2794,1.3028,0.1861,0.0810,-0.6563,0.5327,-0.5282,0.2839,1.3014,0.1911,0.3424,-0.7880,0.3550,0.3685,0.2794,1.3028,0.1861,0.0810,-0.6563,0.5327,-0.5282,0.5335,1.6339,-0.1365,-0.1821,0.3917,-0.0815,-0.8982,-0.1200,1.1787,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.076,1,0.2885,1.3072,0.1920,0.3230,-0.8036,0.3302,0.3753,0.2786,1.3080,0.1868,0.0873,-0.6720,0.5132,-0.5267,0.2885,1.3072,0.1920,0.3230,-0.8036,0.3302,0.3753,0.2786,1.3080,0.1868,0.0873,-0.6720,0.5132,-0.5267,0.5327,1.6341,-0.1342,-0.1818,0.3915,-0.0809,-0.8984,-0.1200,1.1716,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.086,1,0.2936,1.3126,0.1980,0.2947,-0.8279,0.2669,0.3956,0.2676,1.3118,0.1931,0.1379,-0.7254,0.4306,-0.5190,0.2936,1.3126,0.1980,0.2947,-0.8279,0.2669,0.3956,0.2676,1.3118,0.1931,0.1379,-0.7254,0.4306,-0.5190,0.5322,1.6343,-0.1319,-0.1818,0.3914,-0.0802,-0.8985,-0.1200,1.1635,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.096,1,0.2974,1.3155,0.2021,0.2756,-0.8409,0.2286,0.4057,0.2633,1.3130,0.1969,0.1575,-0.7470,0.3930,-0.5126,0.2974,1.3155,0.2021,0.2756,-0.8409,0.2286,0.4057,0.2633,1.3130,0.1969,0.1575,-0.7470,0.3930,-0.5126,0.5316,1.6345,-0.1299,-0.1822,0.3911,-0.0795,-0.8986,-0.1200,1.1544,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
