TrialTime,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.008,0.1510,1.2067,-0.1132,0.4408,0.0843,0.6741,0.5866,0.1762,1.2446,-0.0389,0.7233,-0.2731,-0.0530,0.6320,0.1510,1.2067,-0.1132,0.4408,0.0843,0.6741,0.5866,0.1762,1.2446,-0.0389,0.7233,-0.2731,-0.0530,0.6320,0.1904,1.4558,-0.5095,-0.0286,0.0935,0.0062,-0.9952,-0.1200,1.2008,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
0.018,0.1507,1.2035,-0.1098,0.4436,0.0843,0.6778,0.5803,0.1759,1.2413,-0.0352,0.7271,-0.2679,-0.0521,0.6300,0.1507,1.2035,-0.1098,0.4436,0.0843,0.6778,0.5803,0.1759,1.2413,-0.0352,0.7271,-0.2679,-0.0521,0.6300,0.1903,1.4557,-0.5097,-0.0289,0.0955,0.0070,-0.9950,-0.1200,1.1999,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.028,0.1509,1.2012,-0.1085,0.4474,0.0831,0.6796,0.5754,0.1761,1.2385,-0.0336,0.7309,-0.2641,-0.0527,0.6271,0.1509,1.2012,-0.1085,0.4474,0.0831,0.6796,0.5754,0.1761,1.2385,-0.0336,0.7309,-0.2641,-0.0527,0.6271,0.1902,1.4557,-0.5098,-0.0294,0.0971,0.0079,-0.9948,-0.1200,1.1985,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.038,0.1509,1.1991,-0.1070,0.4511,0.0818,0.6814,0.5706,0.1762,1.2358,-0.0317,0.7348,-0.2602,-0.0533,0.6241,0.1509,1.1991,-0.1070,0.4511,0.0818,0.6814,0.5706,0.1762,1.2358,-0.0317,0.7348,-0.2602,-0.0533,0.6241,0.1903,1.4556,-0.5099,-0.0299,0.0984,0.0090,-0.9947,-0.1200,1.1967,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.048,0.1508,1.1969,-0.1052,0.4547,0.0805,0.6833,0.5656,0.1761,1.2331,-0.0295,0.7386,-0.2563,-0.0538,0.6212,0.1508,1.1969,-0.1052,0.4547,0.0805,0.6833,0.5656,0.1761,1.2331,-0.0295,0.7386,-0.2563,-0.0538,0.6212,0.1904,1.4555,-0.5099,-0.0308,0.0993,0.0100,-0.9945,-0.1200,1.1944,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.058,0.1505,1.1954,-0.1029,0.4576,0.0790,0.6849,0.5615,0.1760,1.2312,-0.0269,0.7419,-0.2533,-0.0542,0.6185,0.1505,1.1954,-0.1029,0.4576,0.0790,0.6849,0.5615,0.1760,1.2312,-0.0269,0.7419,-0.2533,-0.0542,0.6185,0.1905,1.4554,-0.5100,-0.0316,0.1000,0.0110,-0.9944,-0.1200,1.1916,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.068,0.1502,1.1938,-0.1003,0.4604,0.0775,0.6865,0.5574,0.1756,1.2292,-0.0239,0.7451,-0.2503,-0.0546,0.6158,0.1502,1.1938,-0.1003,0.4604,0.0775,0.6865,0.5574,0.1756,1.2292,-0.0239,0.7451,-0.2503,-0.0546,0.6158,0.1907,1.4552,-0.5100,-0.0322,0.1007,0.0117,-0.9943,-0.1200,1.1882,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.078,0.1498,1.1936,-0.0990,0.4611,0.0766,0.6869,0.5565,0.1755,1.2289,-0.0224,0.7457,-0.2500,-0.0556,0.6151,0.1498,1.1936,-0.0990,0.4611,0.0766,0.6869,0.5565,0.1755,1.2289,-0.0224,0.7457,-0.2500,-0.0556,0.6151,0.1910,1.4551,-0.5100,-0.0326,0.1012,0.0119,-0.9943,-0.1200,1.1844,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.088,0.1494,1.1933,-0.0976,0.4614,0.0756,0.6877,0.5554,0.1752,1.2287,-0.0208,0.7462,-0.2498,-0.0564,0.6145,0.1494,1.1933,-0.0976,0.4614,0.0756,0.6877,0.5554,0.1752,1.2287,-0.0208,0.7462,-0.2498,-0.0564,0.6145,0.1913,1.4550,-0.5099,-0.0330,0.1016,0.0120,-0.9942,-0.1200,1.1828,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.098,0.1493,1.1931,-0.0980,0.4609,0.0747,0.6893,0.5540,0.1752,1.2288,-0.0210,0.7464,-0.2499,-0.0567,0.6142,0.1493,1.1931,-0.0980,0.4609,0.0747,0.6893,0.5540,0.1752,1.2288,-0.0210,0.7464,-0.2499,-0.0567,0.6142,0.1918,1.4548,-0.5099,-0.0335,0.1018,0.0119,-0.9942,-0.1200,1.1827,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
