TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,valve1,valve2,pumps,tableContact,penetration,penetrationSource
0.009,1,0.0896,1.3151,0.0161,0.2737,0.1346,0.4952,0.8135,0.1414,1.3837,0.0745,0.4513,-0.4294,-0.0619,0.7798,0.0896,1.3151,0.0161,0.2737,0.1346,0.4952,0.8135,0.1414,1.3837,0.0745,0.4513,-0.4294,-0.0619,0.7798,0.1299,1.3706,-0.4322,0.1826,0.0301,0.0578,-0.9810,-0.1211,1.2055,0.0806,0.0087,0.9981,-0.0575,0.0188,0,0,0.0000,0,0,0,0,none,0.0000,none
0.019,1,0.0853,1.2962,-0.0112,0.2710,0.2031,0.4614,0.8200,0.1194,1.3490,0.0402,0.6229,-0.4128,0.0643,0.6614,0.0853,1.2962,-0.0112,0.2710,0.2031,0.4614,0.8200,0.1194,1.3490,0.0402,0.6229,-0.4128,0.0643,0.6614,0.1258,1.3686,-0.4285,0.1643,0.0880,0.0592,-0.9807,-0.1211,1.4377,0.0806,0.0080,0.9981,-0.0576,0.0188,0,0,0.0000,0,0,0,0,none,0.1108,Table Upper Target
0.029,1,0.0860,1.2976,-0.0221,0.2531,0.2289,0.4386,0.8314,0.1125,1.3376,0.0242,0.7069,-0.3854,0.1437,0.5754,0.0860,1.2976,-0.0221,0.2531,0.2289,0.4386,0.8314,0.1125,1.3376,0.0242,0.7069,-0.3854,0.1437,0.5754,0.1252,1.3683,-0.4284,0.1624,0.0936,0.0592,-0.9805,-0.1211,1.4367,0.0807,0.0073,0.9981,-0.0577,0.0188,0,0,0.0000,0,0,0,0,none,0.0000,none
0.039,1,0.0863,1.2962,-0.0280,0.2481,0.2331,0.4308,0.8358,0.1123,1.3354,0.0174,0.7095,-0.3853,0.1523,0.5701,0.0863,1.2962,-0.0280,0.2481,0.2331,0.4308,0.8358,0.1123,1.3354,0.0174,0.7095,-0.3853,0.1523,0.5701,0.1246,1.3680,-0.4283,0.1608,0.0990,0.0592,-0.9802,-0.1212,1.4346,0.0808,0.0066,0.9981,-0.0577,0.0187,0,0,0.0000,0,0,0,0,none,0.0000,none
0.049,1,0.0865,1.2947,-0.0323,0.2462,0.2363,0.4251,0.8384,0.1121,1.3332,0.0123,0.7123,-0.3850,0.1579,0.5652,0.0865,1.2947,-0.0323,0.2462,0.2363,0.4251,0.8384,0.1121,1.3332,0.0123,0.7123,-0.3850,0.1579,0.5652,0.1239,1.3677,-0.4284,0.1596,0.1039,0.0594,-0.9799,-0.1212,1.4316,0.0809,0.0058,0.9981,-0.0578,0.0187,0,0,0.0000,0,0,0,0,none,0.0000,none
0.059,1,0.0867,1.2936,-0.0359,0.2458,0.2391,0.4202,0.8401,0.1119,1.3308,0.0082,0.7184,-0.3835,0.1644,0.5567,0.0867,1.2936,-0.0359,0.2458,0.2391,0.4202,0.8401,0.1119,1.3308,0.0082,0.7184,-0.3835,0.1644,0.5567,0.1233,1.3676,-0.4285,0.1584,0.1089,0.0588,-0.9796,-0.1212,1.4276,0.0810,0.0051,0.9981,-0.0579,0.0187,0,0,0.0000,0,0,0,0,none,0.0000,none
0.069,1,0.0865,1.2930,-0.0371,0.2439,0.2391,0.4190,0.8413,0.1116,1.3303,0.0069,0.7172,-0.3845,0.1654,0.5571,0.0865,1.2930,-0.0371,0.2439,0.2391,0.4190,0.8413,0.1116,1.3303,0.0069,0.7172,-0.3845,0.1654,0.5571,0.1226,1.3673,-0.4286,0.1577,0.1135,0.0585,-0.9792,-0.1212,1.4226,0.0811,0.0044,0.9981,-0.0580,0.0186,0,0,0.0000,0,0,0,0,none,0.0000,none
0.079,1,0.0864,1.2927,-0.0383,0.2427,0.2394,0.4175,0.8423,0.1114,1.3299,0.0057,0.7167,-0.3854,0.1665,0.5569,0.0864,1.2927,-0.0383,0.2427,0.2394,0.4175,0.8423,0.1114,1.3299,0.0057,0.7167,-0.3854,0.1665,0.5569,0.1220,1.3672,-0.4286,0.1570,0.1181,0.0578,-0.9788,-0.1212,1.4167,0.0812,0.0037,0.9981,-0.0580,0.0186,0,0,0.0000,0,0,0,0,none,0.0000,none
0.089,1,0.0865,1.2929,-0.0392,0.2406,0.2381,0.4166,0.8437,0.1114,1.3300,0.0049,0.7155,-0.3870,0.1679,0.5569,0.0865,1.2929,-0.0392,0.2406,0.2381,0.4166,0.8437,0.1114,1.3300,0.0049,0.7155,-0.3870,0.1679,0.5569,0.1214,1.3672,-0.4287,0.1562,0.1227,0.0572,-0.9784,-0.1213,1.4097,0.0813,0.0030,0.9981,-0.0581,0.0186,0,0,0.0000,0,0,0,0,none,0.0000,none
0.099,1,0.0865,1.2932,-0.0405,0.2378,0.2362,0.4155,0.8456,0.1113,1.3302,0.0039,0.7145,-0.3887,0.1696,0.5565,0.0865,1.2932,-0.0405,0.2378,0.2362,0.4155,0.8456,0.1113,1.3302,0.0039,0.7145,-0.3887,0.1696,0.5565,0.1208,1.3671,-0.4287,0.1562,0.1266,0.0564,-0.9780,-0.1213,1.4018,0.0814,0.0022,0.9981,-0.0582,0.0185,0,0,0.0000,0,0,0,0,none,0.0000,none
